2005,Eastern Africa,1,75345,15531,19996,25622,37366,99475
2005,Middle Africa,2,35070,15767,14438,55267,33874,86690
2005,Northern Africa,3,195662,46361,94760,148613,115310,370085
2005,Southern Africa,4,167196,52299,49180,78755,79277,268197
2005,Western Africa,5,141084,17023,21303,57247,50693,185720
2005,Eastern Asia,7,4316048,1342041,2353293,2417729,2164644,8277735
2005,Central Asia,8,45714,11595,25666,47053,39255,90890
2005,Southern Asia,9,749760,137891,397058,268463,287023,1266980
2005,South-Eastern Asia,10,536827,95239,233049,774192,699394,936430
2005,Western Asia,11,769274,230435,305660,662172,504703,1462217
2005,Eastern Europe,13,884218,290429,347381,683959,597322,1603619
2005,Northern Europe,14,2170760,802709,701226,1342854,1291844,3724257
2005,Southern Europe,15,2097788,675083,843200,928239,1046409,3497216
2005,Western Europe,16,3762841,1371756,1271999,2856341,2608819,6653873
2005,Northern America,18,9421880,2204945,3307736,1743099,2414701,14266098
2005,Caribbean,20,135061,34532,37691,121077,107761,220459
2005,Central America,21,662066,104029,213580,270634,294058,963274
2005,South America,22,988500,266764,302791,358215,274610,1640427
2005,Oceania,24,510825,157024,244118,189270,205364,895882
